cv_matched,required_level,importance,basic_score,intermediate_score,advanced_score,total_score,target_level
True,advanced,required,0.9762,0.9528,0.7798,0.9189,advanced
False,advanced,preferred,0.7899,0.5733,0.1427,0.536,basic
True,advanced,preferred,0.9142,0.9273,0.7117,0.8548,advanced
True,basic,required,0.6416,0.3491,0.2085,0.407,basic
True,intermediate,required,0.9342,0.3144,0.1729,0.4923,basic
False,basic,preferred,0.9268,0.8352,0.8747,0.8894,advanced
True,intermediate,required,1.0,0.8983,0.6466,0.8782,advanced
False,advanced,preferred,0.8567,0.3229,0.1882,0.4698,basic
True,basic,preferred,0.6675,0.2342,0.3112,0.4264,basic
False,advanced,required,0.9024,0.9015,0.9814,0.9299,advanced
True,basic,preferred,0.6013,0.3541,0.1445,0.3781,basic
False,intermediate,preferred,0.9035,0.6324,0.4424,0.6506,intermediate
False,intermediate,preferred,0.9334,0.9888,0.5963,0.9027,advanced
False,advanced,required,0.6311,0.1111,0.279,0.3445,basic
True,advanced,required,0.9808,1.0,0.7891,0.9486,advanced
True,basic,required,0.9628,0.9587,0.8474,0.9334,advanced
False,basic,required,0.9241,1.0,0.8367,0.9368,advanced
False,intermediate,required,0.5257,0.4298,0.1042,0.3548,basic
True,intermediate,required,0.794,0.6729,0.3107,0.6237,intermediate
True,basic,preferred,0.9241,0.9194,0.668,0.8948,advanced
False,intermediate,required,0.9476,0.7864,0.7892,0.8741,advanced
True,advanced,required,0.9736,0.8731,0.8276,0.9025,advanced
False,advanced,required,0.9274,0.9412,0.4247,0.8111,intermediate
False,basic,preferred,0.942,0.9298,0.6932,0.8721,advanced
True,basic,required,0.7403,0.3892,0.1198,0.4362,basic
True,advanced,required,0.9668,0.9723,0.9027,0.9563,advanced
True,advanced,required,0.9858,0.9895,0.7035,0.9304,advanced
True,intermediate,required,0.7615,0.8944,0.504,0.7476,intermediate
False,intermediate,required,0.6684,0.3949,0.3106,0.4741,basic
True,intermediate,preferred,0.8919,0.8756,0.8384,0.8713,advanced
True,basic,required,0.8872,0.9532,0.5825,0.8781,advanced
True,advanced,required,0.9159,0.919,0.8747,0.9011,advanced
True,basic,preferred,0.9054,0.9203,0.7497,0.8933,advanced
True,intermediate,required,0.8914,0.6465,0.3025,0.6223,intermediate
True,basic,required,0.695,0.194,0.1323,0.3934,basic
True,basic,required,0.9671,0.8829,0.88,0.913,advanced
True,advanced,required,0.9499,0.8902,0.8867,0.9196,advanced
True,basic,preferred,0.5596,0.0877,0.1494,0.2585,basic
False,advanced,required,0.8483,0.6418,0.6162,0.7253,intermediate
True,basic,required,0.8875,0.3978,0.3284,0.5797,basic
False,intermediate,required,1.0,0.7752,0.6086,0.8311,advanced
True,basic,preferred,0.6753,0.0011,0.1997,0.2896,basic
True,intermediate,required,0.98,0.8018,0.8099,0.8812,advanced
False,advanced,preferred,0.8272,0.8139,0.4102,0.7518,intermediate
True,intermediate,required,0.5633,0.3575,0.3984,0.4075,basic
True,intermediate,required,0.9396,0.5978,0.1827,0.5934,basic
False,advanced,preferred,0.7636,0.5218,0.0,0.46,basic
False,basic,preferred,0.6328,0.5307,0.0692,0.4262,basic
True,intermediate,required,0.9832,0.9198,0.8763,0.9439,advanced
True,basic,preferred,0.7348,0.6106,0.2071,0.5467,basic
False,advanced,preferred,0.73,0.4328,0.0,0.4588,basic
True,basic,preferred,0.9664,0.5289,0.413,0.6684,intermediate
False,intermediate,required,0.8099,0.4727,0.2906,0.5445,basic
True,basic,required,0.9163,0.8146,0.951,0.8924,advanced
True,basic,required,0.7204,0.8176,0.696,0.7345,intermediate
True,basic,required,0.8697,0.2537,0.1227,0.4339,basic
False,intermediate,required,0.573,0.2482,0.1371,0.3508,basic
False,advanced,required,0.7914,0.3498,0.2068,0.4499,basic
True,basic,preferred,0.8368,0.7971,0.6435,0.7995,intermediate
False,basic,required,0.6605,0.2542,0.0798,0.3442,basic
True,basic,preferred,1.0,0.9219,0.7412,0.9014,advanced
True,basic,required,0.819,0.5845,0.4952,0.6457,intermediate
True,intermediate,required,0.9129,0.8275,0.446,0.7315,intermediate
False,basic,preferred,1.0,0.7324,0.6983,0.8279,advanced
True,basic,required,0.7132,0.4782,0.0622,0.4382,basic
True,intermediate,preferred,0.7238,0.2998,0.0626,0.378,basic
True,intermediate,preferred,0.894,0.9361,0.8235,0.9296,advanced
False,basic,required,0.5587,0.3485,0.149,0.3671,basic
True,intermediate,required,0.8112,0.9252,0.511,0.8072,intermediate
True,advanced,required,0.961,0.7671,0.6291,0.8207,advanced
False,advanced,preferred,0.946,0.8617,0.8814,0.8773,advanced
True,advanced,preferred,0.8923,0.808,0.8231,0.8269,advanced
True,basic,required,0.9261,0.6249,0.5094,0.6977,intermediate
False,advanced,required,1.0,0.5747,0.4859,0.6731,intermediate
False,intermediate,required,0.8706,0.7972,0.4033,0.7049,intermediate
False,advanced,preferred,0.8709,0.7443,0.4231,0.6741,intermediate
False,advanced,required,0.8199,0.9354,0.5344,0.8178,intermediate
False,basic,preferred,0.6088,0.3195,0.1131,0.3176,basic
True,basic,required,0.9702,0.9586,0.9665,0.985,advanced
False,basic,preferred,1.0,0.8404,0.6145,0.82,advanced
True,basic,required,0.5279,0.4013,0.0,0.3293,basic
True,basic,preferred,0.7649,0.3386,0.172,0.4438,basic
False,basic,required,0.9107,0.8916,0.8236,0.886,advanced
False,advanced,required,0.8718,0.7743,0.4052,0.7094,intermediate
False,advanced,required,0.8362,0.7424,0.3369,0.6607,intermediate
False,basic,required,0.6911,0.4069,0.1378,0.4124,basic
False,advanced,preferred,1.0,0.8562,0.3165,0.7843,intermediate
False,advanced,preferred,0.9658,0.8494,0.8103,0.8697,advanced
False,intermediate,required,0.8135,0.8553,0.3745,0.7341,intermediate
False,advanced,required,1.0,0.784,0.2016,0.7423,intermediate
True,basic,required,0.9183,0.9822,0.7739,0.9105,advanced
True,basic,required,1.0,0.9469,0.5353,0.8772,advanced
True,intermediate,required,0.9633,0.9652,0.7483,0.9385,advanced
True,basic,required,0.8458,0.5979,0.3427,0.6076,intermediate
True,basic,required,0.948,0.8156,0.6994,0.8119,advanced
True,basic,required,0.9502,0.8093,0.7351,0.8561,advanced
False,advanced,preferred,0.6941,0.4145,0.0077,0.4183,basic
True,advanced,required,0.6428,0.4036,0.1072,0.4032,basic
True,intermediate,preferred,0.9402,0.8666,0.7627,0.8429,advanced
True,intermediate,preferred,0.6895,0.4524,0.2578,0.5004,basic
True,intermediate,preferred,0.7203,0.6622,0.3547,0.5704,intermediate
True,intermediate,preferred,0.9817,0.9667,0.7149,0.9111,advanced
True,advanced,required,0.6717,0.3343,0.1751,0.4134,basic
True,basic,preferred,0.9726,0.7536,0.6411,0.8185,intermediate
